sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
MSC1410,MSC,2003,1410,NA,1,1,1,0
MSC1410,MSC,2004,1410,NA,0,1,1,0
MSC1411,MSC,2002,1411,0.269909413154784,1,0,1,0
MSC1411,MSC,2003,1411,NA,1,1,1,0
MSC1411,MSC,2004,1411,NA,0,1,1,0
MSC1412,MSC,2002,1412,0.219732178022843,1,0,1,1
MSC1412,MSC,2003,1412,NA,1,1,1,0
MSC1412,MSC,2004,1412,NA,0,1,1,0
MSC1413,MSC,2002,1413,0.269909413154784,1,0,1,0
MSC1413,MSC,2003,1413,NA,1,1,1,0
MSC1413,MSC,2004,1413,NA,0,1,1,0
MSC1415,MSC,2002,1415,0.320086648286726,1,0,1,0
MSC1415,MSC,2003,1415,NA,1,1,1,0
MSC1415,MSC,2004,1415,NA,0,1,1,0
MSC1416,MSC,2002,1416,0.169554942890901,1,0,1,1
MSC1416,MSC,2003,1416,NA,1,1,1,0
MSC1416,MSC,2004,1416,NA,0,1,1,0
MSC1417,MSC,2002,1417,0.269909413154784,1,0,1,0
MSC1417,MSC,2003,1417,NA,1,1,1,0
MSC1417,MSC,2004,1417,NA,0,1,1,0
MSC1422,MSC,2002,1422,0.219732178022843,1,0,1,1
MSC1422,MSC,2003,1422,NA,1,1,1,0
MSC1422,MSC,2004,1422,NA,0,1,1,0
MSC1425,MSC,2002,1425,0.219732178022843,1,0,1,1
MSC1425,MSC,2003,1425,NA,1,1,1,0
MSC1425,MSC,2004,1425,NA,0,1,1,0
MSC1429,MSC,2002,1429,0.370263883418668,1,0,1,0
MSC1429,MSC,2003,1429,NA,1,1,1,0
MSC1429,MSC,2004,1429,NA,0,1,1,0
MSC1432,MSC,2002,1432,0.269909413154784,1,0,1,0
MSC1432,MSC,2003,1432,NA,1,1,1,0
MSC1432,MSC,2004,1432,NA,0,1,1,0
MSC1433,MSC,2002,1433,0.42044111855061,1,0,1,0
MSC1433,MSC,2003,1433,NA,1,1,1,0
